BuildNumber,BuildDescription
14.0.4762.1000,SharePoint 2010 RTM
14.0.5114.5003,SharePoint 2010 6/10 CU
14.0.5123.5000,SharePoint 2010 8/10 CU
14.0.5128.5000,SharePoint 2010 10/10 CU
14.0.5130.5002,SharePoint 2010 12/10 CU
14.0.5136.5002,SharePoint 2010 2/11 CU
14.0.5138.5000,SharePoint 2010 4/11 CU
14.0.6029.1000,SharePoint 2010 SP1
14.0.6105.5000,Sharepoint 2010 6/11 CU Mark 1
14.0.6106.5002,SharePoint 2010 6/11 CU Mark 2
14.0.6109.5002,SharePoint 2010 8/11 CU
14.0.6112.5000,SharePoint 2010 10/11 CU
14.0.6114.5000,SharePoint 2010 12/11 CU
14.0.6117.5002,SharePoint 2010 2/12 CU
14.0.6120.5000,SharePoint 2010 4/12 CU Mark 1
14.0.6120.5006,SharePoint 2010 4/12 CU Mark 2
14.0.6123.5002,SharePoint 2010 6/12 CU
14.0.6126.5000,SharePoint 2010 8/12 CU
14.0.6129.5000,SharePoint 2010 10/12 CU
14.0.6129.5003,SharePoint 2010 10/12 CU
14.0.6131.5001,SharePoint 2010 12/12 CU
14.0.6131.5003,SharePoint 2010 12/12 CU
14.0.6134.5000,SharePoint 2010 2/13 CU
14.0.6134.5003,SharePoint 2010 2/13 CU
14.0.6137.5000,SharePoint 2010 4/13 CU
14.0.7011.1000,SharePoint 2010 SP2 Public Beta
14.0.7102.5000,SharePoint 2010 6/13 CU Mark 1
14.0.7102.5004,SharePoint 2010 6/13 CU Mark 2
14.0.7015.1000,SharePoint 2010 SP2
14.0.7106.5000,SharePoint 2010 8/13 CU
15.0.4128.1014,SharePoint 2013 Beta
15.0.4420.1017,SharePoint 2013 RTM
15.0.4433.1506,SharePoint 2013 12/12 Hotfix
15.0.4481.1005,SharePoint 2013 3/13 Public Update
15.0.4505.1002,SharePoint 2013 4/13 CU
15.0.4505.1005,SharePoint 2013 4/13 CU
15.0.4517.1003,SharePoint 2013 6/13 CU
15.0.4435.1002,SharePoint 2013 8/13 CU
